channelTitle,handle,niche,mainCategory,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,isFaceless,channelType,publishedAt,lastVideoPublished,channelId,_per_video,_lifetime,_age_days,_vids_per_mo
Tunamex Music,@tunamexmusic,Music,Music,25000,42840.25675675676,31701790,740,48.97,US,True,long,2018-01-11T17:21:49Z,2026-08-04T00:00:00.000Z,UCuP4-bhq7mCUPLJZ3jZi9PQ,1.7136102702702705,1268.0716,3130,7.092651757188499
Tarde Relajada,@heroteampovesp-o3k,Action Skits,Film,12000,20497.285714285714,430443,21,73.95,US,True,,2025-03-24T08:41:40Z,2026-08-05T00:00:00.000Z,UC_gI8SjTjWkcSXR3rT5atZg,1.7081071428571428,35.87025,502,1.254980079681275
АПОСТОЛЬСКИЕ ПЕСНИ,@apostolsongs,Christian Music,Christian music,25000,42696.023255813954,5507787,129,132.75,US,True,,2025-11-03T00:06:12Z,2026-08-06T00:00:00.000Z,UCs6M4y2nNLJWHu9JGEVREIw,1.7078409302325581,220.31148,278,13.920863309352518
Bxsuws,@bxsuws,Roblox Gaming,Action game,12000,20483.4126984127,2580910,126,1.55,US,True,,2021-05-23T17:21:28Z,2026-08-01T00:00:00.000Z,UCLsRpW6HIbKSzFOsLkM5NjQ,1.7069510582010583,215.07583333333332,1902,1.9873817034700316
Gridiron Buckets,@gridironbuckets,Basketball,Basketball,100000,165844.85651322233,338655197,2042,291.47,US,True,short,2007-10-16T04:47:14Z,2026-08-05T00:00:00.000Z,UC8Yf6kUtp5u0m0fZtBUkMRw,1.6584485651322234,3386.55197,6871,8.915732789986901
BuddyRanks,@buddyyranks,Internet Trends,Entertainment,91300,151313.54,7565677,50,108.68,US,True,,2021-02-28T09:09:38Z,2026-08-06T00:00:00.000Z,UCXmVXjs4OrIdJzUT-8UFb8A,1.6573224534501645,82.86612267250821,1987,0.754906894816306
mhswoocer,@mhswoocer,Video Game Analysis,Role-playing video game,100000,164189.075,32837815,200,1192.91,US,True,mixed,2021-04-02T16:15:42Z,2026-07-19T00:00:00.000Z,UCfS6gpWhvTGCdltYd500a3Q,1.6418907500000002,328.37815,1953,3.0721966205837177
Ryo Higuchi,@ryo-kun.guitar,Guitar Covers,Music of Asia,50000,81111.44660194175,16708958,206,368.36,US,True,long,2009-06-10T02:46:02Z,2026-08-05T00:00:00.000Z,UCSkg7Vl7_7hbJjLwnjA-6sg,1.622228932038835,334.17916,6268,0.9859604339502234
ZYNyt,@zynyt5,Football,Association football,177000,283597.8703703704,15314285,54,249,US,True,,2017-05-28T21:40:33Z,2026-07-25T00:00:00.000Z,UC-NpYaf5sDI3QukurTUFheg,1.6022478551998327,86.52138418079096,3358,0.48243001786777845
K-pop Aura,@kpopaura34755,K-pop Fan Animation & Storytelling,Entertainment,25000,39064.41935483871,1210997,31,0.16,US,True,,2026-02-07T14:04:56Z,2026-07-14T00:00:00.000Z,UCg8Vs5T4dzO7WhHJaJ354EA,1.5625767741935486,48.43988,181,5.138121546961326
